Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.2452890872955322	0	20.836735	10.180708	51.0	9.0	20.836734693877553	10.180707923694298	1021	1021
2.993772029876709	1	25.925	13.950605	72.0	10.0	25.925	13.950604825598067	1037	2058
3.5576722621917725	2	35.066666	15.07964	74.0	12.0	35.06666666666667	15.079640431905382	1052	3110
4.108734130859375	3	41.24	18.740927	109.0	19.0	41.24	18.740928472196888	1031	4141
4.663523197174072	4	45.68182	17.527605	77.0	18.0	45.68181818181818	17.52760514584809	1005	5146
5.267196178436279	5	53.55	16.107376	83.0	27.0	53.55	16.107374087665562	1071	6217
5.844763278961182	6	59.117645	21.34281	98.0	18.0	59.11764705882353	21.342810755246276	1005	7222
6.467463970184326	7	64.5625	23.840534	109.0	26.0	64.5625	23.840534678358203	1033	8255
7.10988712310791	8	69.13333	26.305555	127.0	35.0	69.13333333333334	26.305554968907657	1037	9292
7.74266505241394	9	65.125	21.28343	138.0	47.0	65.125	21.28342958735739	1042	10334
8.382541179656982	10	69.26667	26.362766	156.0	37.0	69.26666666666667	26.362768359099835	1039	11373
9.040549278259277	11	79.53846	41.34213	197.0	44.0	79.53846153846153	41.342128605493166	1034	12407
9.698381185531616	12	93.0	26.34043	166.0	60.0	93.0	26.340428656690115	1023	13430
10.438371181488037	13	107.2	30.514914	176.0	69.0	107.2	30.51491438624726	1072	14502
11.186686038970947	14	129.75	45.17397	200.0	75.0	129.75	45.17396927435091	1038	15540
12.001221179962158	15	112.0	52.98113	200.0	49.0	112.0	52.98112871579842	1120	16660
12.734297275543213	16	105.4	35.33327	172.0	50.0	105.4	35.3332704401956	1054	17714
13.442066192626953	17	96.72727	27.416288	160.0	67.0	96.72727272727273	27.41628881818222	1064	18778
14.216541290283203	18	145.85715	34.165264	200.0	111.0	145.85714285714286	34.165264613675234	1021	19799
14.982566356658936	19	133.125	28.228697	175.0	83.0	133.125	28.22869772058215	1065	20864
15.740333080291748	20	149.42857	35.840347	200.0	103.0	149.42857142857142	35.840348941450024	1046	21910
16.44969916343689	21	143.0	26.827492	200.0	103.0	143.0	26.827491230345892	1001	22911
17.180190086364746	22	130.125	22.053556	183.0	102.0	130.125	22.053556969341702	1041	23952
18.042217016220093	23	146.57143	28.554995	200.0	106.0	146.57142857142858	28.554995274067913	1026	24978
18.87433910369873	24	153.14285	38.12921	200.0	107.0	153.14285714285714	38.12921104211151	1072	26050
19.858381271362305	25	169.71428	32.4949	200.0	109.0	169.71428571428572	32.494897558646635	1188	27238
20.722020149230957	26	174.0	28.372522	200.0	130.0	174.0	28.372521918222215	1044	28282
21.788039207458496	27	198.83333	2.608746	200.0	193.0	198.83333333333334	2.6087459737497545	1193	29475
22.84738302230835	28	200.0	0.0	200.0	200.0	200.0	0.0	1200	30675
23.869315147399902	29	196.16667	8.571594	200.0	177.0	196.16666666666666	8.571593913749194	1177	31852
24.924771070480347	30	200.0	0.0	200.0	200.0	200.0	0.0	1200	33052
25.9690260887146	31	200.0	0.0	200.0	200.0	200.0	0.0	1200	34252
27.0661301612854	32	200.0	0.0	200.0	200.0	200.0	0.0	1200	35452
28.169199228286743	33	200.0	0.0	200.0	200.0	200.0	0.0	1200	36652
29.20045018196106	34	199.66667	0.745356	200.0	198.0	199.66666666666666	0.7453559924999298	1198	37850
30.28550124168396	35	200.0	0.0	200.0	200.0	200.0	0.0	1200	39050
31.341662168502808	36	200.0	0.0	200.0	200.0	200.0	0.0	1200	40250
32.420332193374634	37	200.0	0.0	200.0	200.0	200.0	0.0	1200	41450
33.483516216278076	38	200.0	0.0	200.0	200.0	200.0	0.0	1200	42650
34.47089719772339	39	187.33333	14.6363325	200.0	160.0	187.33333333333334	14.636332266733431	1124	43774
35.398680210113525	40	181.66667	16.295874	200.0	152.0	181.66666666666666	16.295875415440424	1090	44864
36.31170415878296	41	161.0	22.06484	200.0	137.0	161.0	22.064839515780367	1127	45991
37.21927309036255	42	159.71428	23.075743	200.0	136.0	159.71428571428572	23.075740419721473	1118	47109
38.08651113510132	43	172.33333	20.507452	200.0	150.0	172.33333333333334	20.507451220362697	1034	48143
39.011521100997925	44	149.125	21.635836	200.0	129.0	149.125	21.63583543568401	1193	49336
39.90323996543884	45	160.14285	19.393875	183.0	123.0	160.14285714285714	19.393876584623094	1121	50457
40.75963497161865	46	178.0	20.07486	200.0	148.0	178.0	20.074859899884732	1068	51525
41.68112325668335	47	185.83333	15.355962	200.0	160.0	185.83333333333334	15.355961564016614	1115	52640
42.72154235839844	48	199.0	2.236068	200.0	194.0	199.0	2.23606797749979	1194	53834
43.776854038238525	49	199.33333	1.490712	200.0	196.0	199.33333333333334	1.4907119849998598	1196	55030
44.76607632637024	50	199.66667	0.745356	200.0	198.0	199.66666666666666	0.7453559924999298	1198	56228
45.785433292388916	51	200.0	0.0	200.0	200.0	200.0	0.0	1200	57428
46.778547048568726	52	200.0	0.0	200.0	200.0	200.0	0.0	1200	58628
47.7735869884491	53	200.0	0.0	200.0	200.0	200.0	0.0	1200	59828
48.80281615257263	54	200.0	0.0	200.0	200.0	200.0	0.0	1200	61028
49.80049419403076	55	200.0	0.0	200.0	200.0	200.0	0.0	1200	62228
50.80172538757324	56	200.0	0.0	200.0	200.0	200.0	0.0	1200	63428
51.808282136917114	57	200.0	0.0	200.0	200.0	200.0	0.0	1200	64628
52.82391023635864	58	198.33333	3.2998316	200.0	191.0	198.33333333333334	3.2998316455372216	1190	65818
